code: 22575 time: 13840-13840 location:[[22.548553, 114.064697], [22.544842, 114.058571]]
code: 22575 time: 13840-13850 location:[[22.544842, 114.058571], [22.548553, 114.064697]]
code: 22575 time: 13850-13850 location:[[22.548553, 114.064697], [22.544842, 114.058571]]
code: 22575 time: 13850-13860 location:[[22.544842, 114.058571], [22.548553, 114.064697]]
code: 22575 time: 13860-13860 location:[[22.548553, 114.064697], [22.544842, 114.058571]]
code: 22575 time: 13860-13870 location:[[22.544842, 114.058571], [22.548553, 114.064697]]
code: 22575 time: 13870-13870 location:[[22.548553, 114.064697], [22.544842, 114.058571]]
code: 22575 time: 13870-13880 location:[[22.544842, 114.058571], [22.548553, 114.064697]]
code: 22575 time: 13880-13880 location:[[22.548553, 114.064697], [22.544842, 114.058571]]
code: 22575 time: 13880-13890 location:[[22.544842, 114.058571], [22.548553, 114.064697]]
code: 22575 time: 13890-13890 location:[[22.548553, 114.064697], [22.544842, 114.058571]]
code: 22575 time: 13890-13900 location:[[22.544842, 114.058571], [22.548553, 114.064697]]
code: 22575 time: 13900-13900 location:[[22.548553, 114.064697], [22.544842, 114.058571]]
code: 22575 time: 13900-13910 location:[[22.544842, 114.058571], [22.548553, 114.064697]]
code: 22575 time: 13910-13910 location:[[22.548553, 114.064697], [22.544842, 114.058571]]
code: 22575 time: 13910-15640 location:[[22.544842, 114.058571], [22.549433, 114.13633]]
code: 22575 time: 15640-15650 location:[[22.549433, 114.13633], [22.55035, 114.136917]]
code: 22575 time: 15650-15660 location:[[22.55035, 114.136917], [22.551367, 114.137581]]
code: 22575 time: 15660-15670 location:[[22.551367, 114.137581], [22.552418, 114.13842]]
code: 22575 time: 15670-15680 location:[[22.552418, 114.13842], [22.553167, 114.138931]]
code: 22575 time: 15680-15690 location:[[22.553167, 114.138931], [22.553917, 114.139297]]
code: 22575 time: 15690-15700 location:[[22.553917, 114.139297], [22.554649, 114.140053]]
code: 22575 time: 15700-15710 location:[[22.554649, 114.140053], [22.557478, 114.145615]]
code: 22575 time: 15710-15720 location:[[22.557478, 114.145615], [22.555004, 114.141533]]
code: 22575 time: 15720-15730 location:[[22.555004, 114.141533], [22.554548, 114.140778]]
code: 22575 time: 15730-15740 location:[[22.554548, 114.140778], [22.554483, 114.140671]]
code: 22575 time: 15740-15750 location:[[22.554483, 114.140671], [22.554474, 114.140656]]
code: 22575 time: 15750-15760 location:[[22.554474, 114.140656], [22.554474, 114.140656]]
code: 22575 time: 15760-15770 location:[[22.554474, 114.140656], [22.554474, 114.140656]]
code: 22575 time: 15770-15780 location:[[22.554474, 114.140656], [22.554474, 114.140656]]
code: 22575 time: 15780-15790 location:[[22.554474, 114.140656], [22.554474, 114.140656]]
code: 22575 time: 15790-15800 location:[[22.554474, 114.140656], [22.554474, 114.140656]]
code: 22575 time: 15800-15810 location:[[22.554474, 114.140656], [22.554474, 114.140656]]
code: 22575 time: 15810-15820 location:[[22.554474, 114.140656], [22.554474, 114.140656]]
code: 22575 time: 15820-18130 location:[[22.554474, 114.140656], [22.557501, 114.136032]]
code: 22575 time: 18130-18140 location:[[22.557501, 114.136032], [22.557501, 114.136032]]
code: 22575 time: 18140-18150 location:[[22.557501, 114.136032], [22.557501, 114.136032]]
